PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,FT AST,SECONDARY AST,POTENTIAL AST,AST PTS,AST ADJ,AST TO PASS%,AST TO PASS%ÊADJ
Goran Dragic,MIA,24,8,16,824,1408,1685,160,11,30,304,388,201,11.4,14.3
James Johnson,MIA,25,9,16,611,887,755,56,9,6,128,138,71,6.3,8
Justise Winslow,MIA,13,3,10,451,529,516,44,6,8,83,105,57,8.3,10.8
Tyler Johnson,MIA,27,9,18,839,1099,1176,84,5,17,186,200,106,7.6,9.6
Josh Richardson,MIA,19,5,14,559,689,751,41,5,8,102,101,54,6,7.8
Josh McRoberts,MIA,20,5,15,350,676,534,48,4,5,105,110,57,7.1,8.4
Luke Babbitt,MIA,22,7,15,330,369,283,9,3,1,21,22,13,2.4,3.5
Dion Waiters,MIA,16,5,11,509,508,664,63,3,3,117,157,70,12.4,13.8
Hassan Whiteside,MIA,29,9,20,982,735,547,19,2,7,46,40,28,2.6,3.8
Wayne Ellington,MIA,11,4,7,339,214,273,22,1,3,40,52,26,10.3,12.1
Derrick Williams,MIA,16,3,13,265,389,332,6,1,3,22,16,10,1.5,2.6
Rodney McGruder,MIA,27,9,18,691,462,445,36,1,7,75,85,44,7.8,9.5
Willie Reed,MIA,21,8,13,246,129,93,6,0,2,11,13,8,4.7,6.2
Udonis Haslem,MIA,8,2,6,41,27,20,1,0,0,2,2,1,3.7,3.7
