PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Luke Babbitt,MIA,56,29,27,875,43,2,15,13.3,3,4,75,7,16.3,23,53.5,4,9.3,3,7,3,7
Josh McRoberts,MIA,22,6,16,381,31,3,15,20,1,2,50,7,22.6,11,35.5,1,3.2,3,9.7,2,6.5
Okaro White,MIA,21,17,4,337,10,0,4,0,3,4,75,3,30,4,40,0,0,0,0,2,20
Rodney McGruder,MIA,61,30,31,1555,97,16,50,32,6,8,75,38,39.2,34,35.1,9,9.3,9,9.3,6,6.2
Josh Richardson,MIA,36,13,23,1041,141,26,65,40,13,15,86.7,65,46.1,59,41.8,16,11.3,8,5.7,12,8.5
Dion Waiters,MIA,42,24,18,1274,465,93,216,43.1,45,68,66.2,231,49.7,187,40.2,59,12.7,26,5.6,41,8.8
Wayne Ellington,MIA,45,25,20,1155,26,5,10,50,3,4,75,13,50,13,50,4,15.4,1,3.8,2,7.7
Justise Winslow,MIA,18,4,14,625,125,27,74,36.5,10,16,62.5,64,51.2,38,30.4,14,11.2,5,4,11,8.8
Goran Dragic,MIA,57,30,27,1924,700,146,275,53.1,68,82,82.9,361,51.6,327,46.7,86,12.3,48,6.9,56,8
Tyler Johnson,MIA,56,25,31,1692,275,59,136,43.4,53,64,82.8,171,62.2,93,33.8,20,7.3,15,5.5,38,13.8
James Johnson,MIA,59,30,29,1564,299,92,162,56.8,60,84,71.4,244,81.6,71,23.7,19,6.4,23,7.7,53,17.7
Willie Reed,MIA,54,29,25,780,7,3,4,75,0,0,0,6,85.7,1,14.3,0,0,1,14.3,0,0
Hassan Whiteside,MIA,60,29,31,1968,20,7,15,46.7,5,7,71.4,19,95,0,0,0,0,0,0,6,30
Udonis Haslem,MIA,15,5,10,129,1,1,1,100,1,1,100,3,300,0,0,0,0,0,0,1,100
